id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
72190,1BR: See Central Park from Terrace!,373085,Hudson,Manhattan,Upper West Side,Entire home/apt,110,13,38,2/15/2019,0.39,1,0
79782,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",430188,Pam,Brooklyn,Williamsburg,Private room,120,14,76,3/31/2019,0.76,6,343
83847,East Village Designer's 1-BR APT,410094,Yvette,Manhattan,East Village,Entire home/apt,225,2,33,1/2/2019,0.33,1,0
85094,Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,322716,Alex,Brooklyn,Crown Heights,Entire home/apt,79,15,11,1/14/2019,0.11,5,179
101053,Colorful Artistic Williamsburg Apt,530032,Lee And Tara,Brooklyn,Williamsburg,Private room,100,3,31,3/1/2019,0.31,1,0
105510,Private 1-Bedroom Apt in Townhouse,322716,Alex,Brooklyn,Crown Heights,Entire home/apt,100,30,15,1/5/2019,0.16,5,282
118430,Heart of Meatpacking & Chelsea,585458,Paul,Manhattan,Chelsea,Private room,290,2,35,1/3/2019,0.36,1,20
139624,"Spacious,Sunny, private one bedroom",680818,Jessica,Brooklyn,Crown Heights,Entire home/apt,64,20,70,1/31/2019,0.73,1,3
152078,CHARMING PRIVATE BEDROOM EAST VILLAGE,731904,Ewelina,Manhattan,East Village,Private room,95,7,25,2/12/2019,0.3,1,359
160609,LOCATION LOCATION LOCATION UWS 60's,769247,Ligia,Manhattan,Upper West Side,Entire home/apt,200,3,10,1/1/2019,0.12,1,0
165461,Couldn't Be Closer To Columbia Uni2,867225,Rahul,Manhattan,Morningside Heights,Private room,75,5,57,1/1/2019,0.59,2,201
191075,Sun-drenched East Village Penthouse,923915,Matthew,Manhattan,East Village,Private room,110,3,81,3/28/2019,0.85,2,274
199195,Modern Bedroom in Hamilton Heights,971075,Jabari,Manhattan,Harlem,Private room,75,3,50,3/30/2019,0.65,2,38
215784,Modern Unique Studio in NYC,864735,Jason,Queens,Long Island City,Entire home/apt,95,30,24,3/31/2019,0.25,8,358
219066,"Wonderful Studio In Brooklyn, NY!!!",447754,Yana,Brooklyn,Bensonhurst,Entire home/apt,110,1,24,1/19/2019,0.26,1,183
220351,THE BEST DEAL ON THE HUDSON RIVER!!,921500,Boubacar And Pattee,Manhattan,Harlem,Private room,55,4,99,2/28/2019,1.04,1,260
221097,Large Artist Floorthru- Greenpoint,1146744,Deborah,Brooklyn,Greenpoint,Entire home/apt,116,29,22,3/15/2019,0.23,1,335
241159,Clinton Hill 1 Bed Bright Loft Apartment,1264655,Ruari,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,6,8,1/3/2019,0.33,1,4
241862,Great Studio in W. Village - NYC!,1269455,Mike,Manhattan,West Village,Entire home/apt,200,2,37,1/2/2019,0.39,1,257
242643,"BIG 1br, SLEEPS 4, dishwashr, TV",1273825,Lauryn,Brooklyn,Williamsburg,Entire home/apt,137,1,24,1/1/2019,0.29,1,0
257097,Sunny! 2br Steps to train/restaurants - 15 to NYC,315401,Jaime,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,30,31,1/28/2019,0.33,1,218
263190,Room in East Village with Private Entrance,1020539,Dominique,Manhattan,East Village,Private room,88,2,69,1/1/2019,0.91,2,0
263232,Cozy&Clean in a great neighborhood,1381171,Nicole,Manhattan,Harlem,Entire home/apt,155,1,1,1/27/2019,0.18,1,5
263776,City Skyline Views from every room!,1384111,Joanne,Queens,Sunnyside,Private room,73,2,95,1/2/2019,1.02,2,0
264323,Comfortable Manhattanville,305972,Allan,Manhattan,Morningside Heights,Private room,85,7,171,3/31/2019,1.84,2,144
266146,Beautiful studio by Central Park,1385157,Brian,Manhattan,Upper West Side,Entire home/apt,109,30,36,3/19/2019,0.39,5,286
266155,One bed suite with private garden,1385157,Brian,Manhattan,Upper West Side,Entire home/apt,167,30,16,3/31/2019,0.17,5,252
267652,Private clean pleasant spacious room.,164675,Janice,Brooklyn,Kensington,Private room,60,2,20,1/21/2019,0.42,1,347
269283,Brooklyn: A Huge Bedroom + Good Vibes,1410714,Antoinette,Brooklyn,Crown Heights,Private room,50,3,26,2/16/2019,0.33,1,158
270139,"Private Room Very Near L train, Bushwick",1093220,Chavisa,Brooklyn,Bushwick,Private room,45,15,21,1/15/2019,0.29,3,88
270315,Bed-stuy Royal Room,1398639,Juliet,Brooklyn,Bedford-Stuyvesant,Private room,34,10,16,3/27/2019,0.19,3,216
290457,Between Two Bridges 2BD -Whole Apt!,207124,Mikki & Bazi,Manhattan,Chinatown,Entire home/apt,139,30,37,2/16/2019,0.41,1,153
294353,Williamsburg HUGE SUNNY next2train!,430188,Pam,Brooklyn,Williamsburg,Private room,135,28,84,2/16/2019,1.12,6,310
302057,Sunny private room featured in film,1555897,Alice,Brooklyn,Flatbush,Private room,75,2,158,1/2/2019,1.77,1,168
306799,2 rooms; private entrance & bath!,1577961,Oona,Brooklyn,Bushwick,Private room,65,5,123,2/28/2019,1.42,1,46
310338,Harlem/Hamilton Heights Sunny Room,745069,Kimberly,Manhattan,Harlem,Private room,75,3,30,1/1/2019,0.35,3,322
310524,Clinton Hill Duplex near Pratt w/Balcony!,1597481,Mary,Brooklyn,Bedford-Stuyvesant,Private room,75,3,13,1/31/2019,0.15,1,298
317905,Come and go as  you please in BKLN!,1631733,Jane,Brooklyn,Kensington,Entire home/apt,89,3,62,1/2/2019,0.71,1,189
320865,Harlem on the Range,1643782,Katy,Manhattan,Harlem,Entire home/apt,135,30,25,3/31/2019,0.28,1,249
322974,Chelsea/Meat Packing  Artist Space!,1610852,Amanda,Manhattan,West Village,Private room,120,2,78,2/8/2019,1.22,1,0
357509,Manhattan -  Best Location in Midtown,684129,Ellie,Manhattan,Midtown,Entire home/apt,110,7,27,3/1/2019,0.31,1,192
369567,Private MasterBR w/ View of Museum,1863447,Luke,Brooklyn,Prospect Heights,Private room,56,3,63,1/1/2019,0.82,1,0
386555,A PLACE TO STAY CLOSE TO MANHATTAN,773928,Nen,Staten Island,Stapleton,Private room,110,2,6,1/1/2019,0.19,1,363
387666,Cozy home in vibrant Manhattan,1939728,Michael & Aleksandra,Manhattan,Washington Heights,Private room,99,3,4,3/4/2019,0.41,1,335
403668,"Gorgeous Sunny, Spacious 1 bdrm in East Village",2013117,Katya,Manhattan,East Village,Entire home/apt,147,2,16,1/2/2019,0.18,1,0
409262,"Family friendly,  steps to subway, large garden :)",1621363,Elizabeth,Brooklyn,Boerum Hill,Entire home/apt,300,29,23,2/14/2019,0.26,2,312
414801,Industrial Brooklyn Loft with Tree-Lined Windows,319077,Shell,Brooklyn,Clinton Hill,Entire home/apt,500,1,54,3/24/2019,0.65,4,365
416557,"All Charm: Lush Garden, Huge Kitchen + Quiet",2714164,Jasmine,Brooklyn,Greenpoint,Entire home/apt,87,6,39,3/13/2019,0.47,2,258
459066,******AMAZING DEAL IN NYC*****,2282355,Ivana,Manhattan,Upper East Side,Entire home/apt,150,2,23,1/1/2019,0.27,1,0
460999,Beautiful duplex apt in Harlem,128890,Sara,Manhattan,Harlem,Entire home/apt,100,8,8,3/28/2019,0.11,1,0
472546,Cozy place,1600988,Sweet Home,Brooklyn,Bushwick,Entire home/apt,82,15,5,1/4/2019,0.06,1,311
476570,3RE - CARRIAGE HOUSE STUDIO OFF CTYD,2027013,Adam,Manhattan,East Village,Entire home/apt,89,30,70,3/9/2019,0.83,6,4
476571,2RE - CARRIAGE HOUSE STUDIO OFF CTYD,2027013,Adam,Manhattan,East Village,Entire home/apt,99,30,62,1/10/2019,0.74,6,8
478053,Great LES / Chinatown bedroom,2368753,Kristine,Manhattan,Two Bridges,Private room,80,4,48,1/6/2019,0.56,1,96
479263,Mini Loft Williamsburg Bkln-Bedford,2373905,Jaime,Brooklyn,Williamsburg,Entire home/apt,145,30,36,1/19/2019,0.42,1,342
484312,Loft-Like Park Slope 3bdr Duplex,2306962,Hana,Brooklyn,Windsor Terrace,Entire home/apt,300,2,24,2/20/2019,0.39,1,23
489965,A Gem in Harlem - Modern Living,2423067,Clara,Manhattan,East Harlem,Private room,80,3,47,3/9/2019,0.66,2,0
503529,HEART OF SOHO The Perfect One Bedroom Apt,2483293,Eric,Manhattan,SoHo,Entire home/apt,198,3,9,2/23/2019,0.1,1,0
506571,Large sunny 1br apt in East Village,2349977,Anthony,Manhattan,East Village,Entire home/apt,150,7,19,3/22/2019,0.32,1,24
512209,Your own townhouse in Bklyn Heights,2521513,Amy,Brooklyn,Brooklyn Heights,Entire home/apt,800,3,60,1/1/2019,0.7,1,67
540489,Large + Bright private bedroom in NoLiTa,2656413,Anton,Manhattan,Little Italy,Private room,58,6,18,1/20/2019,0.21,1,0
550288,Cozy Upper East Side 1 Bedroom,2684478,Brian,Manhattan,Upper East Side,Entire home/apt,160,4,16,2/12/2019,0.2,1,0
573671,Luminous Modern Apt Share for Young Professionals,2822805,Ollie,Brooklyn,Bedford-Stuyvesant,Private room,60,30,41,2/23/2019,0.65,8,245
583337,Lovely Condo Carroll Gardens/Gowanus,2874587,Ibie,Brooklyn,Carroll Gardens,Entire home/apt,115,4,61,3/9/2019,0.72,1,15
597544,Dream Room in Sunnyside New York,2954200,Nancy,Queens,Sunnyside,Private room,100,3,28,3/31/2019,0.38,1,188
625365,"In the heart of Prospect Park, BK!",3102648,Zhenia,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,125,4,40,1/1/2019,0.57,1,29
639781,East Village 1 Bedroom Apartment,3194190,Jack,Manhattan,East Village,Entire home/apt,200,6,1,1/5/2019,0.16,1,128
656281,"QUIET, SPACIOUS, COMFORTABLE, & GREAT LOCATION",3180741,Manon,Brooklyn,Kensington,Private room,72,1,48,2/28/2019,0.59,1,312
676257,small private bedroom female only,1465539,Ouii,Manhattan,Kips Bay,Private room,65,5,39,1/18/2019,0.55,1,318
692137,Stunning 3BR loft in Williamsburg!!!!,3538661,Phillip,Brooklyn,Williamsburg,Entire home/apt,380,4,62,1/2/2019,0.75,2,170
699348,Peaceful double room in Brooklyn Brownstone,279845,Chantille & Linda,Brooklyn,Prospect Heights,Private room,78,4,190,1/4/2019,2.3,2,188
702551,UWS renovated 2bedroom 2bath near everything.,3606458,Mathew,Manhattan,Upper West Side,Entire home/apt,900,1,7,1/1/2019,0.09,2,365
705749,Room Available Close to Manhattan-A,3625735,Marianne,Staten Island,Concord,Private room,75,30,59,3/30/2019,0.72,2,354
714939,West Village 2 Bedroom Apt,3578480,Radan,Manhattan,West Village,Entire home/apt,495,3,29,3/12/2019,0.38,1,22
718761,"2 private BRs, private bath - Like your OWN APT",216191,M,Brooklyn,Williamsburg,Private room,146,2,8,3/9/2019,0.11,4,88
719329,Bright 1 BR in Brooklyn,3711499,Silvia,Brooklyn,Crown Heights,Entire home/apt,120,3,12,3/17/2019,0.18,1,15
722464,Large Private Room in Clinton Hill Brooklyn Loft,3597769,Enid,Brooklyn,Bedford-Stuyvesant,Private room,85,5,1,1/7/2019,0.16,2,189
728493,Feel at HOME away from HOME,1601416,Clement & Natalia,Manhattan,Harlem,Private room,70,7,67,1/1/2019,0.87,1,0
736187,Private Room in lovely Greenpoint,3842134,Dawn,Brooklyn,Greenpoint,Private room,52,5,35,1/3/2019,0.44,3,1
752366,"Big, close to subway, 3 stops from the city",3956850,Dana,Queens,Astoria,Entire home/apt,89,3,17,3/15/2019,0.31,1,0
765569,"Brand New, Boutique Brooklyn Condo",4036700,Anna,Brooklyn,Downtown Brooklyn,Entire home/apt,175,13,64,3/31/2019,0.8,1,116
767967,Studio in Chelsea,3949235,Lior,Manhattan,Chelsea,Entire home/apt,105,7,2,3/19/2019,0.5,1,0
770893,1 Bdrm Apt-Luxury Bldg-Upper West,4066797,Victoria,Manhattan,Upper West Side,Entire home/apt,100,29,3,2/11/2019,0.11,1,301
775326,Cozy Room in Artistic Brownstone,1568517,Karl & Catherine,Queens,Long Island City,Private room,69,1,153,1/18/2019,1.89,2,132
788005,"Spacious 1 Bedroom Apt, Prospect Hts/Park Slope",4153591,Rita,Brooklyn,Prospect Heights,Entire home/apt,195,4,10,3/16/2019,0.13,1,95
794156,Lincoln Center  luxury condo,58366,Linna,Manhattan,Upper West Side,Entire home/apt,210,30,48,1/3/2019,0.6,1,36
795680,Upper East side cozy 1 bdr apt,4191209,Fran,Manhattan,Upper East Side,Entire home/apt,105,14,7,1/6/2019,0.16,1,84
796523,Rustic Modern Duplex Brownstone,4195861,Doris,Brooklyn,Crown Heights,Entire home/apt,150,4,13,1/2/2019,0.3,2,15
799484,E'33-EMPIRE STATE -PERFECT SPAC,1475015,Mike,Manhattan,Kips Bay,Entire home/apt,116,30,5,3/11/2019,0.09,52,311
801281,Cozy Modern LES Apt-Prime Location,1010338,Stefan,Manhattan,Lower East Side,Entire home/apt,158,5,39,1/4/2019,0.55,1,0
803237,Duplex with two terraces and a view,3642035,Arsenio,Brooklyn,Crown Heights,Entire home/apt,250,4,6,1/2/2019,0.08,1,250
805028,"BOERUM HILL, Entire Home / Loft",1131081,Patrick,Brooklyn,Boerum Hill,Entire home/apt,200,4,13,1/4/2019,0.22,1,0
807535,Spacious Private Bedroom Brooklyn - Williamsburg,4249297,Martina,Brooklyn,Williamsburg,Private room,79,5,5,1/2/2019,0.21,2,198
819956,"Home away from home,clean and cozy.",9269794,Jerbean,Brooklyn,Bedford-Stuyvesant,Private room,75,2,38,1/2/2019,0.51,1,365
820710,1 large bedroom w/private bath,4310378,Autumn,Brooklyn,Clinton Hill,Private room,89,2,89,1/1/2019,1.12,3,318
820953,Entire Apt Yours! (5 Night Minimum),4105474,Amanda,Brooklyn,Greenpoint,Entire home/apt,99,7,10,1/1/2019,0.13,1,81
821135,Bright Loft One Stop from Soho,4311243,Owen,Brooklyn,Downtown Brooklyn,Entire home/apt,170,7,41,1/12/2019,0.55,1,0
832772,NO PLACE LIKE YOUR NYC HOME! UPPER WEST SIDE 1BDRM,4358812,Scott,Manhattan,Upper West Side,Entire home/apt,175,7,23,3/2/2019,0.29,1,0
833519,Large Bedroom for 2 brickwall,4112404,Vero,Manhattan,Washington Heights,Private room,40,15,4,1/1/2019,0.05,3,353
840794,Big one bedroom located in Brooklyn,4390881,Todd,Brooklyn,Prospect Heights,Entire home/apt,85,14,13,1/26/2019,0.17,1,22
843491,Clean 1 bedroom with private bath :),4241953,Celeste,Queens,Flushing,Private room,80,3,8,1/4/2019,0.17,4,342
875111,1-bedroom apt in Clinton Hill,2908554,Michael,Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,3,7,1/27/2019,0.11,1,0
876355,Large 1BR Columbia University,3994331,Vivian,Manhattan,Morningside Heights,Entire home/apt,108,30,5,1/19/2019,0.07,1,230
880256,Beautiful Trendy 2br Harlem Apt.,4655169,Rochelle,Manhattan,Harlem,Entire home/apt,165,2,21,1/2/2019,0.3,1,347
888583,Gorgeous Greenpoint Railroad,4282125,Caroline,Brooklyn,Greenpoint,Entire home/apt,120,2,27,1/1/2019,0.35,1,280
898669,Hip Modern West Village Apartment,4782600,Brian,Manhattan,West Village,Entire home/apt,150,3,90,3/24/2019,1.17,1,184
912376,Room in cool Bushwick loft!,4103952,Maria,Brooklyn,Bedford-Stuyvesant,Private room,51,3,4,1/3/2019,0.06,1,188
917058,Charming Greenwich Village studio,4924435,Darla,Manhattan,Greenwich Village,Entire home/apt,225,1,3,1/1/2019,0.04,1,188
921624,Rare Spacious Quiet Prime Williamsburg Duplex Loft,4955560,Emmanuel,Brooklyn,Williamsburg,Entire home/apt,220,4,22,2/23/2019,0.3,1,8
923566,Sunlit Central Park Apartment,4967515,Cody,Manhattan,Upper West Side,Entire home/apt,200,6,22,1/4/2019,0.28,2,354
927408,"Large Cozy Room #1, Landmark Home 1 block to PRATT",51038,Erica,Brooklyn,Clinton Hill,Private room,98,2,38,2/16/2019,0.5,6,158
944840,Dumbo Loft With A Beautiful View,5110818,Kevin,Brooklyn,DUMBO,Entire home/apt,134,14,14,1/29/2019,0.18,1,0
959478,"Chic, Cozy LES 1BR. Weekly clean included!",4191076,Michelle,Manhattan,Chinatown,Entire home/apt,87,59,51,2/1/2019,0.66,1,0
959871,Bask in the light! Studio bedroom in Williamsburg,1822729,Derek,Brooklyn,Williamsburg,Private room,120,6,15,1/1/2019,0.21,2,9
964379,WATER VIEWS 3 BED HOME W/ PARKING,555739,Rosana,Brooklyn,Bay Ridge,Entire home/apt,130,28,14,2/28/2019,0.69,2,340
968848,"Cozy private room in 2 Bedroom, BK",5289072,Mark,Brooklyn,Prospect Heights,Private room,64,2,35,2/3/2019,0.46,1,329
976242,Cozy East Village Haven,854208,Anna,Manhattan,East Village,Entire home/apt,200,10,35,1/2/2019,0.46,1,51
978062,West Village 1 BR Apartment,5186189,Betsy,Manhattan,West Village,Entire home/apt,249,3,10,1/1/2019,0.3,1,5
1077179,Large luxury 1 bedroom loft in Gramercy,5927702,Shayne,Manhattan,Gramercy,Entire home/apt,250,30,17,1/31/2019,0.39,2,327
1083888,"Verna's Brownstone  (no stove, no gatherings)",5959653,Verna,Brooklyn,Bedford-Stuyvesant,Private room,80,1,14,3/8/2019,0.2,2,283
1105845,Convenient Location! 1 BR on 1Floor,3630531,Yuko,Manhattan,Chelsea,Entire home/apt,160,4,5,1/1/2019,0.07,1,168
1114788,Astoria Heights Gorgeous Guest Bedroom,6118355,William,Queens,Ditmars Steinway,Private room,73,1,6,3/31/2019,0.13,1,363
1139851,The Perfect Large Chelsea Studio,5654454,Stuart,Manhattan,Chelsea,Entire home/apt,90,45,11,2/19/2019,0.18,1,279
1148279,Family Owned & Operated Brownstone,6294856,Yoki,Brooklyn,Bedford-Stuyvesant,Private room,60,3,140,1/1/2019,1.87,1,189
1150594,HEART OF EAST VILLAGE! Quiet apt in middle of NYC!,7399728,Mickey,Manhattan,East Village,Entire home/apt,129,1,96,1/13/2019,1.31,1,324
1156499,MODERN/ SUBWAY/TERRACE/LOFT/ LARGE MASTER BEDROOM,5644215,LiVi,Brooklyn,Greenpoint,Private room,152,5,13,1/2/2019,0.17,1,241
1182844,"Large apt at Central Park, TimesSq",6470443,Alex,Manhattan,Hell's Kitchen,Entire home/apt,199,7,30,1/26/2019,0.52,1,184
1185357,Central Park Room/Bath with a View!,6482637,William,Manhattan,Upper West Side,Private room,85,3,118,1/23/2019,1.61,1,0
1209887,East Village Bright & Spacious Artist Loft,2910509,Tamar,Manhattan,East Village,Entire home/apt,120,29,10,1/18/2019,0.17,1,3
1221332,Furnished 1 Bedroom in East Harlem,3757699,Jeremiah,Manhattan,East Harlem,Entire home/apt,53,7,7,2/19/2019,0.33,2,0
1225060,Lovely Studio in Astoria,6682511,Inga,Queens,Ditmars Steinway,Entire home/apt,110,3,23,1/4/2019,0.67,1,14
1227528,Modern Williamsburg,3086048,Christine,Brooklyn,Williamsburg,Entire home/apt,275,4,27,1/2/2019,0.37,1,197
1251681,"Entire House in Brooklyn for 6, super good price¡¡",6819812,Margarita,Brooklyn,Kensington,Entire home/apt,250,5,11,1/1/2019,0.15,1,34
1262053,Stylish Park Slope Townhouse,6873370,Thomas,Brooklyn,Sunset Park,Entire home/apt,102,2,24,1/8/2019,0.34,1,0
1284776,Modern Apartment in Brownstone Bkln,6989825,Angus,Brooklyn,Carroll Gardens,Entire home/apt,250,5,49,1/2/2019,0.67,1,0
1291261,Dream Apartment - Greenwich Village,7020798,Light,Manhattan,Greenwich Village,Entire home/apt,150,12,16,3/16/2019,0.22,1,35
1304952,Two Bedrooms and Private Bathroom,7073209,Jackie,Brooklyn,Fort Greene,Private room,175,2,5,3/10/2019,0.13,2,334
1323349,Spacious Bright 2B Apt East Village,7183070,Vanessa,Manhattan,East Village,Entire home/apt,300,3,19,1/31/2019,0.27,1,0
1325759,Gorgeous Apt in Prime Williamsburg,7195403,Emily,Brooklyn,Williamsburg,Entire home/apt,147,3,14,3/11/2019,0.2,2,0
1330775,Large private live/work space; garden & parking,7187069,Wendy,Brooklyn,Williamsburg,Entire home/apt,100,7,41,3/29/2019,0.58,1,45
1331231,"Studio Plus, Hilton Grand Vacation",7220851,Richard,Manhattan,Midtown,Entire home/apt,350,6,3,1/2/2019,0.22,1,351
1340982,Steps from Central Park,7273689,Olya,Manhattan,Upper East Side,Entire home/apt,169,7,11,1/5/2019,0.2,1,24
1342507,Brooklyn duplex 10 mins to U Square,7281456,Fabiano,Brooklyn,Williamsburg,Entire home/apt,150,2,24,1/3/2019,0.53,1,296
1343532,Room2 in a Good Vibe Apartment,3239771,Olivia,Brooklyn,Crown Heights,Private room,40,7,14,3/2/2019,0.2,2,221
1350055,Cozy room in Beautiful Williamsburg Appartment,2035472,Alessio,Brooklyn,Williamsburg,Private room,85,3,2,2/3/2019,0.32,1,89
1390532,Amazing Designer Loft in BK Factory,7503643,Vida,Brooklyn,Greenpoint,Entire home/apt,129,30,7,3/27/2019,0.11,52,189
1392144,3-Bed Brownstone on Beautiful Block,1873589,Jill,Brooklyn,Crown Heights,Entire home/apt,250,5,25,1/2/2019,0.35,1,220
1403466,Brooklyn Retreat,212738,Julian,Brooklyn,Bushwick,Private room,58,5,31,2/28/2019,0.43,1,297
1404510, A charming Space in Brooklyn ,7557833,Christine,Brooklyn,Bedford-Stuyvesant,Private room,95,2,44,1/25/2019,0.64,5,47
1408406,"Beautiful, spacious apartment - with a cute cat!",5761173,Kappie,Brooklyn,Downtown Brooklyn,Entire home/apt,162,2,11,1/1/2019,0.44,1,0
1411583,GREAT 1BR apt 162st at Amsterdam av,7499240,Candy,Manhattan,Washington Heights,Entire home/apt,120,1,76,1/13/2019,1.07,2,314
1444924,New Law in New York | NO  rentals under 30 days..,926743,Lancelot,Brooklyn,Carroll Gardens,Entire home/apt,100,30,4,1/28/2019,0.06,1,321
1453049,Studio Apt in the heart of Bushwick,2780717,Alonzo,Brooklyn,Bushwick,Entire home/apt,95,4,21,1/2/2019,0.29,1,98
1458987,Room in My Apt. Rego Park Queens NY,7645338,King,Queens,Rego Park,Private room,35,4,76,2/4/2019,1.07,1,5
1461814,Zen Supersized Master Suite,3604585,Jenny,Brooklyn,Flatbush,Private room,69,4,34,1/1/2019,0.72,3,68
1461873,"Cozy, quiet single room in Brooklyn brownstone",279845,Chantille & Linda,Brooklyn,Prospect Heights,Private room,68,3,11,1/27/2019,0.33,2,187
1475631,BLYN BROWNSTONE CORZY CORNER in NYC,2015914,Majar,Brooklyn,Bushwick,Private room,62,3,95,2/11/2019,1.32,8,338
1479113,"Spacious, quiet room with private full bathroom.",176836,Gil,Manhattan,Lower East Side,Private room,49,1,90,1/1/2019,1.29,1,0
1479283,"Great Chelsea Location, Couch/2nd bed, Free WiFi",7245581,Michael,Manhattan,Chelsea,Entire home/apt,96,115,45,3/15/2019,0.63,19,210
1490223,Private Bed & Bath in a townhouse:Charm-Calm-Cozy-,6586128,Martine,Bronx,Port Morris,Private room,60,21,19,1/2/2019,0.28,2,178
1503670,Best location in Brooklyn!,2024924,Lisa,Brooklyn,Park Slope,Private room,65,7,58,3/29/2019,0.83,2,333
1514939,Bright Studio Apt on Prospect Park,8088731,Jon,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,79,7,19,2/18/2019,0.43,1,0
1515026,"Garden Apartment, Ft. Greene",1396183,Lee,Brooklyn,Fort Greene,Entire home/apt,115,4,12,2/22/2019,0.17,1,0
1519994,McSimon's | Queen Room | 10 mins from JFK,8113165,Cynthia And Froebel,Brooklyn,Canarsie,Private room,85,3,1,1/4/2019,0.16,2,132
1598012,"Close to the city, Astoria",3360223,Rosemary,Queens,Astoria,Private room,45,4,68,1/1/2019,0.96,1,0
1598328,Room in heart of the West Village!,8521063,Wes,Manhattan,West Village,Private room,100,2,48,1/2/2019,0.9,1,78
1608220,The Heart of Bushwick!,7009551,Joseph,Brooklyn,Bushwick,Private room,48,7,61,2/15/2019,0.87,1,0
1613110,Sunny Studio Loft @ Habitat 101,7503643,Vida,Brooklyn,Greenpoint,Entire home/apt,129,30,8,1/30/2019,0.12,52,344
1654713,Brooklyn Wildlife Loft rm 2,5556571,Chris,Brooklyn,Williamsburg,Shared room,40,1,34,1/24/2019,0.48,3,75
1656585,Sunny 1bd - Near SOHO Washington SQ,1147345,Molly,Manhattan,Greenwich Village,Entire home/apt,226,3,25,1/2/2019,0.36,1,80
1657110,Luxury & Charm.  Steps from Christopher Park!,8315861,Jonathan,Manhattan,West Village,Entire home/apt,195,5,52,2/7/2019,0.74,1,0
1669149,Beautiful Modern Midtown Apartment,8838470,Carlos,Manhattan,Hell's Kitchen,Entire home/apt,250,6,79,1/1/2019,1.12,1,137
1687108,"Private, Clean and Comfortable NY",177712,Amara,Queens,Astoria,Private room,70,7,34,3/31/2019,0.48,1,140
1693028,Private Room with adjoining bathroom,8918030,Theodore,Bronx,Williamsbridge,Private room,50,1,19,3/30/2019,0.83,1,311
